Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1950,Qtr 1,January,5,05/01/1950,Russia,sunov,Lisunov Li 2,Sverdlovsk Russia,Force Air Soviet - Military,19,19,0,19
2012,Qtr 2,April,2,02/04/2012,Russia,ATR,ATR 72 201VP,Tyumen Russia,UTAir,43,33,0,33
2001,Qtr 3,July,4,04/07/2001,Russia,Tupolev,Tupolev TU 154MRA,Near Irkutsk Russia,Vladivostokavia,145,145,0,145
1976,Qtr 4,December,17,17/12/1976,Russia,Antonov,Antonov AN 24RVCCCP,Kiev USSRAeroflot,N/A,55,48,0,48
1987,Qtr 2,June,19,19/06/1987,Russia,Yakovlev,Yakovlev YAK 40CCCP,Berdiansk USSRAeroflot,N/A,29,8,0,8
1985,Qtr 4,October,11,11/10/1985,Russia,Yakovlev,Yakovlev YAK 40CCCP,Near Kutayissi USSRAeroflot,N/A,14,14,0,14
1975,Qtr 1,March,18,18/03/1975,Russia,Antonov,Antonov AN 2CCCP,Near Terney Russia,Aeroflot,12,7,0,7
1976,Qtr 4,December,17,17/12/1976,Russia,Yakovlev,Yakovlev 40CCCP 88208,Ust-Kut Russia,Aeroflot,7,7,0,7
1986,Qtr 1,March,25,25/03/1986,Russia,Antonov,Antonov An 12APCCCP,Omsk Soviet,Mashinostroyeniya Obshchestvo UnionMinisterstvo,9,9,0,9
1986,Qtr 3,July,2,02/07/1986,Russia,Tupolev,Tupolev TU 134ACCCP,Near Syktyvar Russia,Aeroflot,92,54,0,54
1953,Qtr 2,May,27,27/05/1953,Russia,Ilyushin,Li  2 / Li,Goose Wade Russia,Aeroflot,20,20,0,20
1976,Qtr 1,March,6,06/03/1976,Russia,Ilyushin,Ilyushin IL 18ECCCP,Near Voronezh Russia,Aeroflot,111,111,7,118
1976,Qtr 1,February,9,09/02/1976,Russia,Tupolev,Tupolev TU 104ACCCP,Irkutsk Russia,Aeroflot,124,24,0,24
1976,Qtr 1,January,3,03/01/1976,Russia,Tupolev,Tupolev Tu 124CCCP,Moscow Russia,Aeroflot,61,61,1,62
1975,Qtr 4,October,22,22/10/1975,Russia,Yakovlev,Yakovlev YAK 40CCCP,Novgorod Russia,Aeroflot,6,6,5,11
1986,Qtr 4,October,20,20/10/1986,Russia,Tupolev,Tupolev TU 134ACCCP,Kuybyshev Russia,Aeroflot,93,70,0,70
1986,Qtr 1,March,2,02/03/1986,Russia,Antonov,Antonov AN 24BCCCP,Near Bugulma Russia,Aeroflot,38,38,0,38
1975,Qtr 3,August,9,09/08/1975,Russia,Ilyushin,"Ilyushin IL 14M	 CCCP",Bagdarin Russia,Aeroflot,11,11,0,11
2003,Qtr 3,August,20,20/08/2003,Russia,Mi,Mi  8 helicopter,Kamchatka Peninsula Russia,Khalatyrka,20,20,0,20
1986,Qtr 4,October,14,14/10/1986,Russia,LET,LET 410MT TurbojetCCCP 67264,Ust-Maya USSRAeroflot,N/A,14,14,0,14
1975,Qtr 3,August,15,15/08/1975,Russia,Yakovlev,Yakovlev YAK 40CCCP,Krasnovodsk USSRAeroflot,N/A,38,23,0,23
1974,Qtr 2,April,27,27/04/1974,Russia,Ilyushin,Ilyushin IL 18BCCCP,Near Leningrad USSRAeroflot,N/A,109,109,0,109
2001,Qtr 4,December,1,01/12/2001,Russia,Ilyushin,Ilyushin IL  76TDRA,Near Novaya Inya  Russia,cargo         Russian - Military,18,18,0,18
1988,Qtr 1,January,18,18/01/1988,Russia,Tupolev,Tupolev TU 154B 2CCCP,Krosnovodsk USSRAeroflot,N/A,143,11,0,11
2016,Qtr 4,December,25,25/12/2016,Russia,Tupolev,Tupolev 154B 2RA,Near Adar Russia,Force Air Russian,92,92,0,92
1977,Qtr 3,July,20,20/07/1977,Russia,Ilyushin,Ilyushin IL 14MCCCP,Vitim Russia,Aeroflot,40,40,0,40
2012,Qtr 2,June,11,11/06/2012,Russia,Antonov,Antonov An 2RRA,Near Serov Russia,flight Illegal,13,13,0,13
1988,Qtr 1,January,24,24/01/1988,Russia,Yakovlev,Yakovlev YAK 40CCCP,Near Nizhnevartovsk Russia,Aeroflot,31,27,0,27
1952,Qtr 4,October,5,05/10/1952,Russia,Ilyushin,Ilyushin IL 12L1328,Skvoritsy Russia,Aeroflot,21,21,0,21
1973,Qtr 4,December,7,07/12/1973,Russia,Tupolev,Tupolev TU 104BCCCP,Moscow USSRAeroflot,N/A,75,13,0,13
1973,Qtr 4,October,13,13/10/1973,Russia,Tupolev,Tupolev TU 104BCCCP,Near  Domodedovo Russia,Aeroflot,122,122,0,122
1977,Qtr 4,December,9,09/12/1977,Russia,Antonov,Antonov AN 24CCCP,Tarko-Saley USSRAeroflot,N/A,23,17,0,17
