Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1989,Qtr 4,October,21,1989-10-21,Honduras,Boeing,Boeing B 727,Near Tegucigalpa Honduras,Tan,146,127,0,127
1974,Qtr 1,February,2,1974-02-02,Hipan,Boeing,Boeing B 747N732Pa,Near Honolulu Hipan,Airways World American,298,1,0,1
1973,Qtr 3,July,24,1973-07-24,Hiair,Volpar,Volpar C45Gn234Jc,Honolulu Hiair,Hawaii,5,5,0,5
1969,Qtr 3,July,25,1969-07-25,Hawaii,De Havilland,De Havilland Dh 104 Doven88G,Kekaha Hawaii,Air Isle Trans,13,1,0,1
1962,Qtr 3,July,22,1962-07-22,Hawaii,Bristol,Bristol Britannia 314Cf Czb,Honolulu Hawaii,Lines Air Pacific Canadian,40,27,0,27
1981,Qtr 4,December,5,1981-12-05,Hawaii,Beech,Beech C 45Hn8185H,Honolulu Hawaii,Show Air Parajump - Private,12,11,0,11
2000,Qtr 2,May,10,2000-05-10,Hawaii,Rockwell,Rockwell Sabreliner 65N241H,Kaunakakai Hawaii,Company Aircraft Price,6,6,0,6
1992,Qtr 3,September,16,1992-09-16,Hawaii,Aerospatiale,Aerospatiale As 350Bn350Sm,Hana Hawaii,Inc. Helicopters Hawaii - Taxi Air,7,7,0,7
1992,Qtr 2,April,22,1992-04-22,Hawaii,Beechcraft,Beechcraft E18Sn342E,Mt. Haleakala Hawaii,Tours Air Scenic,9,9,0,9
1977,Qtr 3,August,25,1977-08-25,Hawaii,Shorts,Shorts Sc 7 Skyvan 3,Kona Hawaii,Airways Island,2,2,0,2
1983,Qtr 2,June,16,1983-06-16,Hawaii,Lockheed,Lockheed P 3B Orion152720,Kauai Hawaii,Navy U.S. - Military,14,14,0,14
1957,Qtr 4,November,8,1957-11-08,Hawaii,Boeing,Boeing   377,900 Miles E Of Honolulu Hawaii,Pacific Ocean Pan American World Airways,44,44,0,44
1957,Qtr 4,December,23,1957-12-23,Hawaii,Lockheed,Lockheed Wv 2143197,Off Oahu Hawaii,Navy U.S. - Military,23,19,0,19
1994,Qtr 3,July,14,1994-07-14,Hawaii,Aerospatiale,Aerospatiale As350Dn151Bh,Hanalei Hawaii,Ltd. Helicopters Papillion - Taxi Air,7,3,0,3
1989,Qtr 1,February,24,1989-02-24,Hawaii,Boeing,Boeing B 747,Honolulu Hawaii,Lines Air United,356,9,0,9
1955,Qtr 1,March,22,1955-03-22,Hawaii,Douglas,Douglas R6D 1 (C,Oahu Hawaii,Navy U.S. - Military,66,66,0,66
1988,Qtr 2,April,28,1988-04-28,Hawaii,Boeing,Boeing B 737,Maui Hawaii,Airlines Aloha,95,1,0,1
2007,Qtr 1,March,8,2007-03-08,Hawaii,Aerospatiale,Aerospatiale As350Ba Rotocraftn354Nt,Princeville Hawaii,Airways Heli-Usa,7,4,0,4
2003,Qtr 2,June,15,2003-06-15,Hawaii,Mcdonnell,Mcdonnell Douglas 369Dn4493M,Volcano Hawaii,Helicopters Tour Paradise,4,4,0,4
2000,Qtr 3,July,21,2000-07-21,Hawaii,Aerospatiale,Aerospatiale As355 F1N510Tg,Maui Hawaii,Helicopters Hawaiian Blue,7,7,0,7
1998,Qtr 2,June,25,1998-06-25,Hawaii,Eurocopter,Eurocopter As 350,Mt. Waialeale Hawaii,Tours Helicopter Ohana - Taxi Air,6,6,0,6
1957,Qtr 2,May,1,1957-05-01,Hants,Vickers,Vickers Viking 1Bg Ajbo,Blackbushe Hants,England Eagle Aviation,35,34,0,34
1996,Qtr 1,February,12,1996-02-12,Haiti,Gaf,Gaf Nomad N 24An224E,Port-Au-Prince Hati,Express Hati,15,11,0,11
1973,Qtr 3,August,15,1973-08-15,Haiti,Norman,Norman Bn 2A,Don Don Haiti,Private,10,10,0,10
2003,Qtr 3,August,24,2003-08-24,Haiti,Let,Let 420Uvp Ehh,Cap Haitien Haiti,Airways Tropical,21,21,0,21
1966,Qtr 1,January,22,1966-01-22,Haiti,Douglas,Douglas Dc 3N4662,Port-Au-Prince Haiti,Cohata,35,30,0,30
2018,Qtr 4,November,6,2018-11-06,Guyana,Boeing,Boeing 757 N23N524At,Georgetown Guyana,Airways Jamaica Fly,128,1,0,1
2007,Qtr 2,April,25,2007-04-25,Guyana,Pilatus,Pilatus Britten Norman Bn 2A,Near Kopinang Guyana,Services Air,5,3,0,3
2000,Qtr 2,May,3,2000-05-03,Guyana,Britten,Britten  Norman Bn,Kurupung Guyana,Airways Guyana Trans,1,1,0,1
2003,Qtr 4,November,8,2003-11-08,Guyana,Shorts,Shorts Sc 7 Skyvan 3M Variant 1008R,Near Ogle Guyana,Airways Guyana Trans,7,2,0,2
1940,Qtr 2,June,14,1940-06-14,Gulf,Junkers,Junkers Ju 52/3Mgeoh,Off Prangli Island Gulf,Estonia         Finland Of Aero O-Y,9,9,0,9
1947,Qtr 2,June,21,1947-06-21,Gulf,Illyushin,Li  2Cccp,Black Sea Gulf,Karkinitskyaeroflot Of,29,8,0,8
1949,Qtr 3,July,13,1949-07-13,Gujarat,Hawker,Hawker Hunter,Jamnagar Gujarat,India          State Indian Air Force,0,0,14,14
1978,Qtr 3,September,3,1978-09-03,Guinea,Illyushin,Ilyushin Il 183X,Conakry Guinea,Guinee Air,17,15,0,15
1983,Qtr 3,July,1,1983-07-01,Guinea,Illyushin,Ilyushin Il 62Mb,Labe Guinea,Caak,23,23,0,23
1961,Qtr 4,November,1,1961-11-01,Guernsey,Bristol,Bristol 170 Freighter 31Mg Anwl,Les Prevosts Guernsey,Airways City Silver,10,2,0,2
1959,Qtr 1,January,6,1959-01-06,Guatemala,Douglas,Douglas Dc 3Xh,Mt. Pena Blanca Guatemala,Airlines Sahsa,5,5,0,5
1977,Qtr 2,April,27,1977-04-27,Guatemala,Convair,Convair Cv 440Tg,Guatemala City Guatemala,Aviateca,28,28,0,28
2001,Qtr 3,September,18,2001-09-18,Guatemala,Let,Let 410Uvp Etg,Guatemala City Guatemala,Airlines Atlantic,13,9,0,9
1990,Qtr 2,May,5,1990-05-05,Guatemala,Douglas,Douglas Dc 6Bfn84Bl,Guatamala City  Guatemala,Company Transit Aerial,3,3,24,27
1986,Qtr 1,January,18,1986-01-18,Guatemala,Sud,Sud  Aviation  Caravelle Vi,Near Peten Guatemala,Sa Guatemala De Aerovias,94,94,0,94
1975,Qtr 4,November,18,1975-11-18,Guatemala,Douglas,Douglas Dc 3Tg,Caoba Guatemala,Aviateca,22,15,0,15
1999,Qtr 4,December,21,1999-12-21,Guatemala,Mcdonnell,Mcdonnell Douglas Dc 10,Guatemala City Guatemala,Aviacon De Cubana,314,16,2,18
1971,Qtr 2,May,11,1971-05-11,Guatemala,Curtiss,Curtiss C 46A,Guatemala City Guatemala,Aviateca,35,5,0,5
